fullname,position,school,visiting_team,season,visit_type
Drake Maye,Quarterback,North Carolina,Chicago Bears,2024,COM
J.J. McCarthy,Quarterback,Michigan,Chicago Bears,2024,COM
Malik Nabers,Wide Receiver,LSU,Chicago Bears,2024,T30
Bo Nix,Quarterback,Oregon,Chicago Bears,2024,COM
Maema Njongmeta,Outside Linebacker,Wisconsin,Chicago Bears,2024,COM
Rome Odunze^,Wide Receiver,Washington,Chicago Bears,2024,"COM, T30"
Andru Phillips,Cornerback,Kentucky,Chicago Bears,2024,T30
Jackson Powers-Johnson,Center,Oregon,Chicago Bears,2024,T30
Nehemiah Pritchett,Cornerback,Auburn,Chicago Bears,2024,T30
Brenden Rice,Wide Receiver,USC,Chicago Bears,2024,PRO
Chop Robinson,Outside Linebacker,Penn State,Chicago Bears,2024,T30
Ben Sinnott,Defensive End,Kansas State,Chicago Bears,2024,T30
Loren Strickland,Safety,Ball State,Chicago Bears,2024,WOR
Dadrion Taylor-Demerson,Safety,Texas Tech,Chicago Bears,2024,T30
Dallas Turner,Outside Linebacker,Alabama,Chicago Bears,2024,T30
Sedrick Van Pran,Center,Georgia,Chicago Bears,2024,COM
Jared Verse,Defensive End,Florida State,Chicago Bears,2024,T30
Caleb Williams,Quarterback,USC,Chicago Bears,2024,T30
Xavier Worthy^,Wide Receiver,Texas,Chicago Bears,2024,"COM, T30"
Brian Abraham,Outside Linebacker,Albany,Cincinnati Bengals,2024,PRO
Erick All,Tight End,Iowa,Cincinnati Bengals,2024,T30
Evan Anderson,Defensive Tackle,Florida Atlantic,Cincinnati Bengals,2024,T30
Brenden Bates,Tight End,Kentucky,Cincinnati Bengals,2024,WOR
Brock Bowers,Tight End,Georgia,Cincinnati Bengals,2024,COM
Jowon Briggs,Defensive Tackle,Cincinnati,Cincinnati Bengals,2024,LOC
Joshua Cephus,Wide Receiver,Texas-San Antonio,Cincinnati Bengals,2024,T30
Brandon Coleman^,Offensive Tackle,TCU,Cincinnati Bengals,2024,"COM, T30"
Blake Corum,Running Back,Michigan,Cincinnati Bengals,2024,COM
Troy Fautanu,Offensive Guard,Washington,Cincinnati Bengals,2024,T30
Blake Fisher,Offensive Tackle,Notre Dame,Cincinnati Bengals,2024,T30
Braden Fiske,Defensive Tackle,Florida State,Cincinnati Bengals,2024,T30
Javon Foster,Offensive Tackle,Missouri,Cincinnati Bengals,2024,T30
Taliese Fuaga^,Offensive Guard,Oregon State,Cincinnati Bengals,2024,"COM, T30"
Jaden Hicks,Safety,Washington State,Cincinnati Bengals,2024,COM
Michael Hiers,Quarterback,Samford,Cincinnati Bengals,2024,T30
McKinnley Jackson,Defensive Tackle,Texas A&M,Cincinnati Bengals,2024,T30
Trey Knox,Tight End,South Carolina,Cincinnati Bengals,2024,PRO
J.C. Latham,Offensive Tackle,Alabama,Cincinnati Bengals,2024,COM
Dwight McGlothern,Cornerback,Arkansas,Cincinnati Bengals,2024,PRO
Jalen McMillan,Wide Receiver,Washington,Cincinnati Bengals,2024,T30
Amarius Mims^,Offensive Tackle,Georgia,Cincinnati Bengals,2024,"COM, T30"
Gabriel Murphy^,Defensive End,UCLA,Cincinnati Bengals,2024,"VIR, T30"
Johnny Newton,Defensive Tackle,Illinois,Cincinnati Bengals,2024,T30
Bo Nix,Quarterback,Oregon,Cincinnati Bengals,2024,COM
Patrick Paul^,Offensive Tackle,Houston,Cincinnati Bengals,2024,"COM, T30"
Jackson Powers-Johnson,Center,Oregon,Cincinnati Bengals,2024,COM
Chop Robinson,Outside Linebacker,Penn State,Cincinnati Bengals,2024,COM
Justin Rogers,Defensive Tackle,Auburn,Cincinnati Bengals,2024,T30
Maason Smith,Defensive Tackle,LSU,Cincinnati Bengals,2024,T30
T'Vondre Sweat,Defensive Tackle,Texas,Cincinnati Bengals,2024,T30
Brian Thomas Jr.,Wide Receiver,LSU,Cincinnati Bengals,2024,COM
Xavier Thomas,Defensive End,Clemson,Cincinnati Bengals,2024,T30
Xavier Worthy,Wide Receiver,Texas,Cincinnati Bengals,2024,COM
Erick All,Tight End,Iowa,Cleveland Browns,2024,T30
Kiran Amegadjie,Offensive Tackle,Yale,Cleveland Browns,2024,T30
Trey Benson,Running Back,Florida State,Cleveland Browns,2024,T30
Beanie Bishop,Cornerback,West Virginia,Cleveland Browns,2024,T30
Jowon Briggs,Defensive Tackle,Cincinnati,Cleveland Browns,2024,LOC
Javion Cohen^,Offensive Guard,Miami,Cleveland Browns,2024,"COM, T30"
Malachi Corley,Wide Receiver,Western Kentucky,Cleveland Browns,2024,T30
Audric Estime,Running Back,Notre Dame,Cleveland Browns,2024,COM
Braden Fiske,Defensive Tackle,Florida State,Cleveland Browns,2024,COM
Troy Franklin,Wide Receiver,Oregon,Cleveland Browns,2024,COM
Michael Hall Jr.,Defensive Tackle,Ohio State,Cleveland Browns,2024,T30
Jaden Hicks,Safety,Washington State,Cleveland Browns,2024,T30
Adisa Isaac,Defensive End,Penn State,Cleveland Browns,2024,COM
McKinnley Jackson,Defensive Tackle,Texas A&M,Cleveland Browns,2024,T30
Ladd McConkey,Wide Receiver,Georgia,Cleveland Browns,2024,T30
Joe Milton,Quarterback,Tennessee,Cleveland Browns,2024,T30
Bo Nix,Quarterback,Oregon,Cleveland Browns,2024,COM
Patrick Paul,Offensive Tackle,Houston,Cleveland Browns,2024,COM
Norell Pollard,Defensive Tackle,Virginia Tech,Cleveland Browns,2024,VIR
Michael Pratt,Quarterback,Tulane,Cleveland Browns,2024,T30
Decamerion Richardson,Cornerback,Mississippi State,Cleveland Browns,2024,T30
Ja’Tavion Sanders,Tight End,Texas,Cleveland Browns,2024,T30
Kingsley Suamataia,Offensive Tackle,BYU,Cleveland Browns,2024,T30
T'Vondre Sweat,Defensive Tackle,Texas,Cleveland Browns,2024,T30
Edefuan Ulofoshio,Inside Linebacker,Washington,Cleveland Browns,2024,VIR
Xavier Worthy,Wide Receiver,Texas,Cleveland Browns,2024,COM
Rasheen Ali,Running Back,Marshall,Dallas Cowboys,2024,T30
Braelon Allen^,Running Back,Wisconsin,Dallas Cowboys,2024,"COM, T30"
Emani Bailey,Running Back,TCU,Dallas Cowboys,2024,T30
Graham Barton^,Offensive Guard,Duke,Dallas Cowboys,2024,"COM, T30"
Trey Benson^,Running Back,Florida State,Dallas Cowboys,2024,"COM, T30"
Jonathon Brooks^,Running Back,Texas,Dallas Cowboys,2024,"T30, LOC"
Tyrese Chambers,Wide Receiver,Maryland,Dallas Cowboys,2024,T30
Stefan Cobbs,Wide Receiver,Boise State,Dallas Cowboys,2024,LOC
Brandon Coleman^,Offensive Tackle,TCU,Dallas Cowboys,2024,"LOC, T30"
Junior Colson,Linebacker,Michigan,Dallas Cowboys,2024,T30
Edgerrin Cooper^,Linebacker,Texas A&M,Dallas Cowboys,2024,"COM, T30"
Malachi Corley,Wide Receiver,Western Kentucky,Dallas Cowboys,2024,T30
Audric Estime,Running Back,Notre Dame,Dallas Cowboys,2024,COM
Troy Fautanu,Offensive Guard,Washington,Dallas Cowboys,2024,T30
Jaylan Ford^,Outside Linebacker,Texas,Dallas Cowboys,2024,"COM, LOC"
Taliese Fuaga,Offensive Guard,Oregon State,Dallas Cowboys,2024,T30
Matt Goncalves,Offensive Tackle,Pittsburgh,Dallas Cowboys,2024,T30
Tyler Guyton,Offensive Tackle,Oklahoma,Dallas Cowboys,2024,COM
Bucky Irving,Running Back,Oregon,Dallas Cowboys,2024,T30
McKinnley Jackson,Defensive Tackle,Texas A&M,Dallas Cowboys,2024,COM
Kris Jenkins,Defensive Tackle,Michigan,Dallas Cowboys,2024,COM
J.C. Latham,Offensive Tackle,Alabama,Dallas Cowboys,2024,COM
Jordan MaGee,Linebacker,Temple,Dallas Cowboys,2024,T30
Jalen McMillan,Wide Receiver,Washington,Dallas Cowboys,2024,COM
Amarius Mims,Offensive Tackle,Georgia,Dallas Cowboys,2024,COM
Byron Murphy II,Defensive Tackle,Texas,Dallas Cowboys,2024,LOC
Bo Nix,Quarterback,Oregon,Dallas Cowboys,2024,COM
Mark Perry,Safety,TCU,Dallas Cowboys,2024,LOC
Jackson Powers-Johnson,Center,Oregon,Dallas Cowboys,2024,T30
Darius Robinson,Defensive Tackle,Missouri,Dallas Cowboys,2024,T30
Marcus Rosemy-Jacksaint,Wide Receiver,Georgia,Dallas Cowboys,2024,VIR
Ja’Tavion Sanders,Tight End,Texas,Dallas Cowboys,2024,LOC
Ainias Smith,Wide Receiver,Texas A&M,Dallas Cowboys,2024,PRO
Maason Smith,Defensive Tackle,LSU,Dallas Cowboys,2024,COM
Kingsley Suamataia,Offensive Tackle,BYU,Dallas Cowboys,2024,T30
T'Vondre Sweat,Defensive Tackle,Texas,Dallas Cowboys,2024,COM
Brian Thomas Jr.,Wide Receiver,LSU,Dallas Cowboys,2024,COM
Trevin Wallace,Outside Linebacker,Kentucky,Dallas Cowboys,2024,T30
Nathaniel Watson,Outside Linebacker,Mississippi State,Dallas Cowboys,2024,T30
Jared Wiley,Tight End,TCU,Dallas Cowboys,2024,T30
Payton Wilson,Linebacker,N.C. State,Dallas Cowboys,2024,T30
Chig Anusiem,Cornerback,Colorado State,Denver Broncos,2024,LOC
Terrion Arnold,Cornerback,Alabama,Denver Broncos,2024,COM
Brock Bowers,Tight End,Georgia,Denver Broncos,2024,COM
Millard Bradford,Safety,TCU,Denver Broncos,2024,T30
Chris Braswell,Outside Linebacker,Alabama,Denver Broncos,2024,COM
Jayden Daniels^,Quarterback,LSU,Denver Broncos,2024,"COM, PRO"
Ray Davis,Running Back,Kentucky,Denver Broncos,2024,T30
Tyler Davis,Defensive Tackle,Clemson,Denver Broncos,2024,COM
Marcellas Dial,Cornerback,South Carolina,Denver Broncos,2024,T30
Easton Gibbs,Inside Linebacker,Wyoming,Denver Broncos,2024,LOC
Anthony Goodlow,Defensive End,Oklahoma State,Denver Broncos,2024,VIR
Michael Hiers,Quarterback,Samford,Denver Broncos,2024,T30
Jamal Hill,Safety,Oregon,Denver Broncos,2024,T30
Dallin Holker,Safety,Colorado State,Denver Broncos,2024,LOC
Jalyx Hunt,Defensive End,Houston Baptist,Denver Broncos,2024,T30
Savion Jackson,Defensive End,N.C. State,Denver Broncos,2024,VIR
Neal Johnson,Tight End,Louisiana,Denver Broncos,2024,VIR
Mohamed Kamara,Defensive End,Colorado State,Denver Broncos,2024,EW
Laiatu Latu,Defensive End,UCLA,Denver Broncos,2024,T30
Xavier Legette,Wide Receiver,South Carolina,Denver Broncos,2024,T30
Marist Liufau,Linebacker,Notre Dame,Denver Broncos,2024,COM
Fabien Lovett,Defensive Tackle,Florida State,Denver Broncos,2024,COM
Jordan MaGee,Linebacker,Temple,Denver Broncos,2024,T30
Drake Maye,Quarterback,North Carolina,Denver Broncos,2024,COM
Luke McCaffrey,Wide Receiver,Rice,Denver Broncos,2024,LOC
J.J. McCarthy^,Quarterback,Michigan,Denver Broncos,2024,"COM, WOR"
Dylan McMahon,Center,N.C. State,Denver Broncos,2024,VIR
Jordan Miller,Defensive Tackle,SMU,Denver Broncos,2024,T30
Amarius Mims,Offensive Tackle,Georgia,Denver Broncos,2024,T30
Jordan Morgan,Offensive Tackle,Arizona,Denver Broncos,2024,T30
Bo Nix,Quarterback,Oregon,Denver Broncos,2024,COM
T.J. Palmer,Wide Receiver,UAB,Denver Broncos,2024,T30
Michael Penix Jr.,Quarterback,Washington,Denver Broncos,2024,T30
Michael Pratt,Quarterback,Tulane,Denver Broncos,2024,COM
Decamerion Richardson,Cornerback,Mississippi State,Denver Broncos,2024,T30
Roger Rosengarten,Offensive Tackle,Washington,Denver Broncos,2024,T30
Ben Sinnott,Defensive End,Kansas State,Denver Broncos,2024,COM
Brevyn Spann-Ford,Tight End,Minnesota,Denver Broncos,2024,T30
T'Vondre Sweat,Defensive Tackle,Texas,Denver Broncos,2024,T30
Trey Taylor,Safety,Air Force,Denver Broncos,2024,LOC
Jared Verse,Defensive End,Florida State,Denver Broncos,2024,T30
Caleb Williams,Quarterback,USC,Denver Broncos,2024,COM
Jaylen Wright,Running Back,Tennessee,Denver Broncos,2024,T30
Terrion Arnold,Cornerback,Alabama,Detroit Lions,2024,T30
Karsen Barnhart,Offensive Tackle,Michigan,Detroit Lions,2024,LOC
Khristian Boyd,Defensive Tackle,Northern Iowa,Detroit Lions,2024,T30
Caelen Carson,Cornerback,Wake Forest,Detroit Lions,2024,T30
Brandon Coleman,Offensive Tackle,TCU,Detroit Lions,2024,COM
Blake Corum,Running Back,Michigan,Detroit Lions,2024,LOC
Anthony Gould,Wide Receiver,Oregon State,Detroit Lions,2024,VIR
Michael Hall Jr.,Defensive Tackle,Ohio State,Detroit Lions,2024,T30
Marshawn Kneeland^,Defensive End,Western Michigan,Detroit Lions,2024,"COM, T30"
Xavier Legette,Wide Receiver,South Carolina,Detroit Lions,2024,T30
Nate Lynn,Defensive End,William & Mary,Detroit Lions,2024,T30
Kool-Aid McKinstry,Cornerback,Alabama,Detroit Lions,2024,T30
Joe Milton,Quarterback,Tennessee,Detroit Lions,2024,T30
Johnny Newton,Defensive Tackle,Illinois,Detroit Lions,2024,T30
Bo Nix,Quarterback,Oregon,Detroit Lions,2024,COM
Andru Phillips,Cornerback,Kentucky,Detroit Lions,2024,T30
Nehemiah Pritchett,Cornerback,Auburn,Detroit Lions,2024,T30
Ennis Rakestraw Jr.,Cornerback,Missouri,Detroit Lions,2024,T30
Darius Robinson,Defensive Tackle,Missouri,Detroit Lions,2024,COM
Justin Rogers,Defensive Tackle,Auburn,Detroit Lions,2024,T30
Marcus Rosemy-Jacksaint,Wide Receiver,Georgia,Detroit Lions,2024,VIR
Ainias Smith,Wide Receiver,Texas A&M,Detroit Lions,2024,PRO
Javon Solomon,Defensive End,Troy,Detroit Lions,2024,VIR
Loren Strickland,Safety,Ball State,Detroit Lions,2024,VIR
Sione Vaki,Safety,Utah,Detroit Lions,2024,T30
Jordan Whittington,Wide Receiver,Texas,Detroit Lions,2024,COM
Roman Wilson,Wide Receiver,Michigan,Detroit Lions,2024,LOC
Kiran Amegadjie,Offensive Tackle,Yale,Green Bay Packers,2024,T30
Austin Booker,Defensive End,Kansas,Green Bay Packers,2024,T30
Tanor Bortolini,Offensive Guard,Wisconsin,Green Bay Packers,2024,LOC
Khristian Boyd,Defensive Tackle,Northern Iowa,Green Bay Packers,2024,T30
Jonathon Brooks,Running Back,Texas,Green Bay Packers,2024,COM
Jermaine Burton,Wide Receiver,Alabama,Green Bay Packers,2024,T30
Jayson Carlies,Safety,Missouri,Green Bay Packers,2024,T30
Edgerrin Cooper,Linebacker,Texas A&M,Green Bay Packers,2024,T30
Ray Davis,Running Back,Kentucky,Green Bay Packers,2024,T30
Akeem Dent,Safety,Florida State,Green Bay Packers,2024,T30
Chris Edmonds,Safety,Arizona State,Green Bay Packers,2024,T30
Audric Estime,Running Back,Notre Dame,Green Bay Packers,2024,COM
Braden Fiske,Defensive Tackle,Florida State,Green Bay Packers,2024,T30
Michael Hall Jr.,Defensive Tackle,Ohio State,Green Bay Packers,2024,T30
Gavin Hardison,Quarterback,UTEP,Green Bay Packers,2024,T30
Ty'Ron Hopper,Inside Linebacker,Missouri,Green Bay Packers,2024,T30
Cam Johnston,Wide Receiver,Northwestern,Green Bay Packers,2024,T30
Jarrian Jones,Cornerback,Florida State,Green Bay Packers,2024,T30
Marshawn Kneeland,Defensive End,Western Michigan,Green Bay Packers,2024,T30
Kool-Aid McKinstry,Cornerback,Alabama,Green Bay Packers,2024,T30
Amarius Mims,Offensive Tackle,Georgia,Green Bay Packers,2024,T30
Bo Nix,Quarterback,Oregon,Green Bay Packers,2024,COM
Kitan Oladapo,Safety,Oregon State,Green Bay Packers,2024,T30
Michael Pratt,Quarterback,Tulane,Green Bay Packers,2024,COM
Maason Smith,Defensive Tackle,LSU,Green Bay Packers,2024,T30
Devontez Walker,Wide Receiver,North Carolina,Green Bay Packers,2024,VIR
Trevin Wallace,Outside Linebacker,Kentucky,Green Bay Packers,2024,T30
Evan Williams,Safety,Oregon,Green Bay Packers,2024,COM
Xavier Worthy,Wide Receiver,Texas,Green Bay Packers,2024,COM
Zak Zinter,Offensive Guard,Michigan,Green Bay Packers,2024,T30
Braelon Allen,Running Back,Wisconsin,Houston Texans,2024,COM
Jaylon Allen,Defensive End,Memphis,Houston Texans,2024,LOC
Terrion Arnold,Cornerback,Alabama,Houston Texans,2024,COM
Javon Baker^,Wide Receiver,Central Florida,Houston Texans,2024,"COM, T30"
Jaheim Bell,Tight End,Florida State,Houston Texans,2024,COM
Javon Bullard,Cornerback,Georgia,Houston Texans,2024,T30
Calen Bullock,Safety,USC,Houston Texans,2024,T30
Keon Coleman,Wide Receiver,Florida State,Houston Texans,2024,COM
Edgerrin Cooper,Linebacker,Texas A&M,Houston Texans,2024,LOC
Jacob Cowing,Wide Receiver,Arizona,Houston Texans,2024,COM
Ray Davis,Running Back,Kentucky,Houston Texans,2024,T30
Jaylan Ford,Outside Linebacker,Texas,Houston Texans,2024,COM
Troy Franklin,Wide Receiver,Oregon,Houston Texans,2024,COM
Travis Glover,Offensive Tackle,Georgia State,Houston Texans,2024,T30
Tylan Grable,Offensive Tackle,Central Florida,Houston Texans,2024,T30
Isaac Guerendo,Running Back,Louisville,Houston Texans,2024,T30
Michael Hall Jr.,Defensive Tackle,Ohio State,Houston Texans,2024,T30
Cam Hart^,Cornerback,Notre Dame,Houston Texans,2024,"SR, COM"
Jamal Hill^,Safety,Oregon,Houston Texans,2024,"T30, VIR"
Jalyx Hunt^,Defensive End,Houston Baptist,Houston Texans,2024,"T30, LOC"
Bucky Irving,Running Back,Oregon,Houston Texans,2024,COM
Adisa Isaac,Defensive End,Penn State,Houston Texans,2024,T30
Theo Johnson,Tight End,Penn State,Houston Texans,2024,COM
Mohamed Kamara,Defensive End,Colorado State,Houston Texans,2024,T30
Kalen King,Cornerback,Penn State,Houston Texans,2024,COM
Marshawn Kneeland,Defensive End,Western Michigan,Houston Texans,2024,T30
Trey Knox,Tight End,South Carolina,Houston Texans,2024,PRO
Kamari Lassiter,Cornerback,Georgia,Houston Texans,2024,COM
Xavier Legette,Wide Receiver,South Carolina,Houston Texans,2024,T30
Christian Mahogany,Offensive Guard,Boston College,Houston Texans,2024,T30
Luke McCaffrey,Wide Receiver,Rice,Houston Texans,2024,LOC
Kool-Aid McKinstry,Cornerback,Alabama,Houston Texans,2024,COM
Quinyon Mitchell,Cornerback,Toledo,Houston Texans,2024,COM
Jordan Morgan,Offensive Tackle,Arizona,Houston Texans,2024,WOR
Malik Mustapha,Safety,Wake Forest,Houston Texans,2024,COM
Bo Nix,Quarterback,Oregon,Houston Texans,2024,COM
Pheldarius Payne,Defensive Tackle,Virginia Tech,Houston Texans,2024,VIR
Mark Perry,Safety,TCU,Houston Texans,2024,VIR
Andru Phillips,Cornerback,Kentucky,Houston Texans,2024,T30
Ennis Rakestraw Jr.^,Cornerback,Missouri,Houston Texans,2024,"COM, T30"
Spencer Rattler,Quarterback,South Carolina,Houston Texans,2024,T30
Chop Robinson,Outside Linebacker,Penn State,Houston Texans,2024,COM
Layden Robinson,Offensive Guard,Texas A&M,Houston Texans,2024,LOC
Roger Rosengarten,Offensive Tackle,Washington,Houston Texans,2024,T30
Mike Sainristil,Cornerback,Michigan,Houston Texans,2024,COM
Will Shipley,Running Back,Clemson,Houston Texans,2024,COM
Jaylin Simpson,Safety,Auburn,Houston Texans,2024,T30
Ainias Smith,Wide Receiver,Texas A&M,Houston Texans,2024,PRO
Omar Speights,Linebacker,LSU,Houston Texans,2024,VIR
Cade Stover,Tight End,Ohio State,Houston Texans,2024,COM
Kingsley Suamataia,Offensive Tackle,BYU,Houston Texans,2024,T30
Brian Thomas Jr.,Wide Receiver,LSU,Houston Texans,2024,COM
Xavier Thomas,Defensive End,Clemson,Houston Texans,2024,T30
Jamari Thrash,Wide Receiver,Louisville,Houston Texans,2024,COM
Jordan Whittington,Wide Receiver,Texas,Houston Texans,2024,COM
Nate Wiggins,Cornerback,Clemson,Houston Texans,2024,COM
Payton Wilson,Linebacker,N.C. State,Houston Texans,2024,T30
Xavier Worthy,Wide Receiver,Texas,Houston Texans,2024,COM
Austin Booker,Defensive End,Kansas,Indianapolis Colts,2024,LOC
Brock Bowers,Tight End,Georgia,Indianapolis Colts,2024,COM
Khristian Boyd,Defensive Tackle,Northern Iowa,Indianapolis Colts,2024,T30
Millard Bradford,Safety,TCU,Indianapolis Colts,2024,T30
Jonathon Brooks^,Running Back,Texas,Indianapolis Colts,2024,"COM, T30"
Jarvis Brownlee Jr.,Cornerback,Louisville,Indianapolis Colts,2024,T30
Chris Edmonds,Safety,Arizona State,Indianapolis Colts,2024,T30
Troy Fautanu,Offensive Guard,Washington,Indianapolis Colts,2024,T30
Braden Fiske,Defensive Tackle,Florida State,Indianapolis Colts,2024,COM
Jaylan Ford,Outside Linebacker,Texas,Indianapolis Colts,2024,COM
Travis Glover,Offensive Tackle,Georgia State,Indianapolis Colts,2024,T30
Anthony Gould,Wide Receiver,Oregon State,Indianapolis Colts,2024,VIR
Isaac Guerendo,Running Back,Louisville,Indianapolis Colts,2024,LOC
Layne Hatcher,Quarterback,Ball State,Indianapolis Colts,2024,WOR
Jaden Hicks,Safety,Washington State,Indianapolis Colts,2024,COM
Jamal Hill^,Safety,Oregon,Indianapolis Colts,2024,"T30, VIR"
Adisa Isaac,Defensive End,Penn State,Indianapolis Colts,2024,COM
Jarrian Jones,Cornerback,Florida State,Indianapolis Colts,2024,T30
Ramel Keyton,Wide Receiver,Tennessee,Indianapolis Colts,2024,T30
Marshawn Kneeland,Defensive End,Western Michigan,Indianapolis Colts,2024,T30
Xavier Legette,Wide Receiver,South Carolina,Indianapolis Colts,2024,T30
Braiden McGregor,Defensive End,Michigan,Indianapolis Colts,2024,VIR
Malik Nabers,Wide Receiver,LSU,Indianapolis Colts,2024,T30
Bo Nix,Quarterback,Oregon,Indianapolis Colts,2024,COM
Rome Odunze,Wide Receiver,Washington,Indianapolis Colts,2024,COM
Mark Perry,Safety,TCU,Indianapolis Colts,2024,T30
Deantre Prince,Cornerback,Ole Miss,Indianapolis Colts,2024,T30
Keith Randolph Jr.^,Defensive Tackle,Illinois,Indianapolis Colts,2024,"T30, LOC"
Decamerion Richardson,Cornerback,Mississippi State,Indianapolis Colts,2024,T30
Ainias Smith,Wide Receiver,Texas A&M,Indianapolis Colts,2024,VIR
Loren Strickland,Safety,Ball State,Indianapolis Colts,2024,WOR
Dalton Tucker,Offensive Guard,Marshall,Indianapolis Colts,2024,T30
Xavier Worthy^,Wide Receiver,Texas,Indianapolis Colts,2024,"COM, T30"
Tanor Bortolini^,Offensive Guard,Wisconsin,Jacksonville Jaguars,2024,"PRO, T30"
Millard Bradford,Safety,TCU,Jacksonville Jaguars,2024,T30
Calen Bullock,Safety,USC,Jacksonville Jaguars,2024,T30
Jermaine Burton,Wide Receiver,Alabama,Jacksonville Jaguars,2024,T30
Troy Fautanu,Offensive Guard,Washington,Jacksonville Jaguars,2024,T30
Braden Fiske,Defensive Tackle,Florida State,Jacksonville Jaguars,2024,COM
Taliese Fuaga,Offensive Guard,Oregon State,Jacksonville Jaguars,2024,PRO
Travis Glover,Offensive Tackle,Georgia State,Jacksonville Jaguars,2024,T30
Michael Hall Jr.,Defensive Tackle,Ohio State,Jacksonville Jaguars,2024,T30
Michael Hiers,Quarterback,Samford,Jacksonville Jaguars,2024,T30
Jamal Hill,Safety,Oregon,Jacksonville Jaguars,2024,T30
Jalyx Hunt,Defensive End,Houston Baptist,Jacksonville Jaguars,2024,T30
Theo Johnson,Tight End,Penn State,Jacksonville Jaguars,2024,COM
Jarrian Jones,Cornerback,Florida State,Jacksonville Jaguars,2024,LOC
Mohamed Kamara,Defensive End,Colorado State,Jacksonville Jaguars,2024,COM
Ramel Keyton,Wide Receiver,Tennessee,Jacksonville Jaguars,2024,T30
Marshawn Kneeland,Defensive End,Western Michigan,Jacksonville Jaguars,2024,T30
Xavier Legette,Wide Receiver,South Carolina,Jacksonville Jaguars,2024,T30
Lorenzo Lingard,Running Back,Akron,Jacksonville Jaguars,2024,T30
Zion Logue,Defensive Tackle,Georgia,Jacksonville Jaguars,2024,PRO
Kool-Aid McKinstry,Cornerback,Alabama,Jacksonville Jaguars,2024,T30
Jalen McMillan,Wide Receiver,Washington,Jacksonville Jaguars,2024,T30
Amarius Mims,Offensive Tackle,Georgia,Jacksonville Jaguars,2024,T30
Gabriel Murphy,Defensive End,UCLA,Jacksonville Jaguars,2024,VIR
Malik Nabers,Wide Receiver,LSU,Jacksonville Jaguars,2024,PRO
Bo Nix,Quarterback,Oregon,Jacksonville Jaguars,2024,COM
Maema Njongmeta,Outside Linebacker,Wisconsin,Jacksonville Jaguars,2024,VIR
Rome Odunze,Wide Receiver,Washington,Jacksonville Jaguars,2024,COM
Ruke Orhorhoro^,Defensive Tackle,Clemson,Jacksonville Jaguars,2024,"COM, T30"
Deantre Prince,Cornerback,Ole Miss,Jacksonville Jaguars,2024,T30
Ennis Rakestraw Jr.,Cornerback,Missouri,Jacksonville Jaguars,2024,COM
Decamerion Richardson,Cornerback,Mississippi State,Jacksonville Jaguars,2024,T30
Chop Robinson,Outside Linebacker,Penn State,Jacksonville Jaguars,2024,COM
Justin Rogers,Defensive Tackle,Auburn,Jacksonville Jaguars,2024,VIR
Marcus Rosemy-Jacksaint,Wide Receiver,Georgia,Jacksonville Jaguars,2024,VIR
Ben Sinnott,Defensive End,Kansas State,Jacksonville Jaguars,2024,T30
Ainias Smith,Wide Receiver,Texas A&M,Jacksonville Jaguars,2024,VIR
T.J. Tampa,Cornerback,Iowa State,Jacksonville Jaguars,2024,COM
Brian Thomas Jr.,Wide Receiver,LSU,Jacksonville Jaguars,2024,COM
Bralen Trice,Defensive End,Washington,Jacksonville Jaguars,2024,COM
Jared Verse,Defensive End,Florida State,Jacksonville Jaguars,2024,COM
Devontez Walker,Wide Receiver,North Carolina,Jacksonville Jaguars,2024,T30
Austin Booker,Defensive End,Kansas,Kansas City Chiefs,2024,LOC
Khristian Boyd,Defensive Tackle,Northern Iowa,Kansas City Chiefs,2024,T30
Millard Bradford,Safety,TCU,Kansas City Chiefs,2024,T30
Jowon Briggs,Defensive Tackle,Cincinnati,Kansas City Chiefs,2024,T30
Jonathon Brooks,Running Back,Texas,Kansas City Chiefs,2024,T30
Anthony Gould,Wide Receiver,Oregon State,Kansas City Chiefs,2024,LOC
Theo Johnson,Tight End,Penn State,Kansas City Chiefs,2024,COM
Jarrian Jones,Cornerback,Florida State,Kansas City Chiefs,2024,VIR
Marshawn Kneeland,Defensive End,Western Michigan,Kansas City Chiefs,2024,T30
Xavier Legette,Wide Receiver,South Carolina,Kansas City Chiefs,2024,T30
Christian Mahogany,Offensive Guard,Boston College,Kansas City Chiefs,2024,T30
Jalen McMillan,Wide Receiver,Washington,Kansas City Chiefs,2024,T30
Bo Nix,Quarterback,Oregon,Kansas City Chiefs,2024,COM
Patrick Paul,Offensive Tackle,Houston,Kansas City Chiefs,2024,COM
Cody Schrader,Running Back,Missouri,Kansas City Chiefs,2024,LOC
Ben Sinnott,Defensive End,Kansas State,Kansas City Chiefs,2024,LOC
Carson Steele,Running Back,UCLA,Kansas City Chiefs,2024,T30
Kingsley Suamataia,Offensive Tackle,BYU,Kansas City Chiefs,2024,T30
T'Vondre Sweat,Defensive Tackle,Texas,Kansas City Chiefs,2024,T30
Devontez Walker,Wide Receiver,North Carolina,Kansas City Chiefs,2024,T30
Caeden Wallace,Offensive Tackle,Penn State,Kansas City Chiefs,2024,T30
Xavier Worthy,Wide Receiver,Texas,Kansas City Chiefs,2024,COM
Jaylon Allen,Defensive End,Memphis,Las Vegas Raiders,2024,T30
